Content-based image retrieval for fabric images: A survey,"In recent years, a great deal of research has been conducted in the area of fabric image retrieval, especially the identification and classification of visual features. One of the challenges associated with the domain of content-based image retrieval (CBIR) is the semantic gap between low-level visual features and high-level human perceptions. Generally, CBIR includes two main components, namely feature extraction and similarity measurement. Therefore, this research aims to determine the content-based image retrieval for fabric using feature extraction techniques grouped into traditional methods and convolutional neural networks (CNN). Traditional descriptors deal with low-level features, while CNN addresses the high-level, called semantic features. Traditional descriptors have the advantage of shorter computation time and reduced system requirements. Meanwhile, CNN descriptors, which handle high-level features tailored to human perceptions, deal with large amounts of data and require a great deal of computation time. In general, the features of a CNN's fully connected layers are used for matching query and database images. In several studies, the extracted features of the CNN's convolutional layer were used for image retrieval. At the end of the CNN layer, hash codes are added to reduce search time. © 2021 Institute of Advanced Engineering and Science. All rights reserved.",CBIR CNN Fabric image Feature extraction Traditional descriptor 
Short-Term Load Forecasting with Long Short-Term Memory: A Case Study of Java-Bali System,"Short-term Load Forecasting (STLF) plays an important role in power system operation. It will be used for manage power balance between the dynamic power demand and power supply. This research presents a Long Short-term Memory (LSTM) and Recurrent Neural Network (RNN) for short-term load forecasting Java-Bali power system. We compare the performance of these network architecture models using Mean Average Percentage Error (MAPE) and Root Mean Squared Error (RMSE) to choose the best models for development Java-Bali power system operationalization in the future. The result show LSTM can forecast better than RNN due to vanishing and exploding gradient condition. The best LSTM model has MAPE 5,67% and RMSE 1683,09MW. © 2020 IEEE.",Component; Java Bali System; LSTM; MAPE; RMSE; RNN; Short-term Load Forecasting Brain; Electric power plant loads; Forecasting; Mean square error; Network architecture; Dynamic Power; Percentage error; Power balance; Power supply; Power system operations; Recurrent neural network (RNN); Root mean squared errors; Short term load forecasting; Long short-term memory
Accuracy Improvement of Object Selection in Gaze Gesture Application using Deep Learning,"Gaze-based interaction is a crucial research area. Gaze gesture provides faster interaction between a user and a computer application because people naturally look at the object of interest before taking any other actions. Spontaneous gaze-gesture-based application uses gaze-gesture as an input modality without performing any calibration. The conventional eye tracking systems have a problem with low accuracy. In general, data captured by eye tracker contains errors and noise within gaze position signal. The errors and noise affect the performance of object selection in gaze gesture based application that controls digital contents on the display using smooth-pursuit eye movement. The conventional object selection method suffers from low accuracy (<80%). In this paper, we addressed this accuracy problem with a novel approach using deep learning. We exploited deep learning power to recognize the pattern of eye-gaze data. Long Short Term Memory (LSTM) is a deep learning architecture based on recurrent neural network (RNN). We used LSTM to perform object selection task. The dataset consisted of 34 participants taken from previous study of object selection technique of gaze gesture-based application. Our experimental results show that the proposed method achieved 96.17% of accuracy. In future, our result may be used as a guidance for developing gaze gesture application. © 2020 IEEE.",Deep Learning; Eye Tracking; Gaze Gesture; LSTM Eye movements; Eye tracking; Long short-term memory; Accuracy Improvement; Accuracy problems; Eye tracking systems; Gaze-based interaction; Input modalities; Learning architectures; Recurrent neural network (RNN); Smooth pursuit eye movement; Deep learning
Sliding variance and data range for lightweight sports activity recognition with fusion of modalities,"This research develops a novel lightweight sport activity detection system using time series data of the accelerometer sensors embedded in two modalities, the smartphone and smartwatch. This research focuses on the lightweight exercises, more specifically, jumping jack, push up, sit up, and squat jump. Such activities are chosen for two reasons; the smartphone is now accessible for many persons, and the lightweight exercises are deemed to be easily completed in daily basis for everyone. Our proposed algorithm includes two novel feature extraction methods, i.e. sliding variance and data range, combined with a digital filter and data clipping methods. The results of feature extraction processes were classified using a combination of k-NN and DTW algorithms. The classification results are subsequently compared with the-state-of-the-art algorithms, i.e. LMNN and Naïve Bayes algorithms. The final results imply the merge of k-NN and DTW algorithms (k = 1) with data range method achieves the highest accuracy. The average accuracy for this method is 97.4%, with the processing time of 0.86 s. Thus, the result of counting activity method was acceptable with average values 80% for the whole movement by using two sensor accelerometers. © 2018 The Authors",Dynamic Time Warping; kNearest Neighbor; Large Margin Nearest Neighbor; Lightweight sport activity; Naïve Bayes 
Application of Artificial Potential Field for Coverage Control with Collision Avoidance Under Sensing Constraints,"In multi-agent coverage control, the Voronoi diagram optimization strategy is widely used. However, the limitation of sensing radius makes Voronoi diagram optimization strategy not suitable to implement. Moreover, when the agent’s dimension and obstacles are considered, the Voronoi diagram cannot deal further due to the collision that may occur. Considering these limitations, power diagram optimization strategy is used. To deal with obstacles, artificial potential field strategy is combined with the power diagram. Despite its simplicity, the numerical study shows that the proposed scheme of coverage control works well under sensing constraints even with the presence of obstacles. The proposed strategy is convergent to the objective without collision with obstacles as well as among the agents. © 2020, Brazilian Society for Automatics--SBA.",Artificial potential field; Coverage control; Obstacle avoidance; Power diagram; Voronoi diagram Computational geometry; Graphic methods; Multi agent systems; Artificial potential fields; Collision with obstacle; Coverage control; Optimization strategy; Power diagrams; Sensing constraints; Sensing radius; Voronoi diagrams; Collision avoidance
Automated Detection of Plasmodium Ovale and Malariae Species on Microscopic Thin Blood Smear Images,"Malaria is caused by Plasmodium and transmitted by female Anopheles mosquitoes bite. Early detection of malaria has been performed using microscopic thin blood smear images. Even so, in 2014, as many as 321 million times microscopic examination, there were frequent misdiagnosis caused by human factors. Region of Interest (RoI) in image processing is part of the image that has the highest information. The precise determination of the RoI area can make the computer-based identification process work more efficiently, contribute better to the system, and also eliminate objects that are perceived to interfere with the whole process. This study aims to detect parasites by determining the RoI area of two species of Plasmodium Ovale and Plasmodium Malariae. The working principle of detection is using adaptive thresholding, colour segmentation between green channel (G) with hue channel (H) from HSV colour space, and some morphological operation techniques. The data used are digital microscopic images of thin blood smear. This research achieves the sensitivity level of 91.6% and positive predictive value (PPV) of 89.1%. It shows that performance of the proposed parasite detection method is reliable to assist doctor and contributes for developing the computer aided detection in Plasmodium cases. © 2020. All Rights Reserved.",HSV; Parasite Detection System; Plasmodium Malariae; Plasmodium Ovale; Region of Interest 
Comparison of text-image fusion models for high school diploma certificate classification,"File scanned documents are commonly used in this digital era. Text and image extraction of scanned documents play an important role in acquiring information. A document may contain both texts and images. A combination of text-image classification has been previously investigated. The dataset used for those research works the text were digitally provided. In this research, we used a dataset of high school diploma certificate in which the text must be acquired using optical character recognition (OCR) method. There were two categories for this high school diploma certificate, each of which has three classes. We used convolutional neural network for both text and image classifications. We then combined those two models by using adaptive fusion model and weight fusion model to find the best fusion model. We came into conclusion that the performance of weight fusion model which is 0.927 is better than that of adaptive fusion model with 0.892. © 2020 KIPMI.",Convolutional neural network; Image classification; Text classification; Text-image classification 
Enumeration of Plasmodium Parasites on Thin Blood Smear Digital Microscopic Images,"An automated parasite detection is one of the challenges in computer vision and medicine field. Recently, an automated detection system became necessary in order to assist the parasitologist in detecting parasite. However, the development of automated parasite detection had several challenges. Mostly, previous research studies were conducted with the homogeny dataset. Hence, it will become a problem if the research was conducted with various dataset. According to those facts, this study proposed a scheme for detecting Plasmodium parasites. In this study, 46 thin blood smear digital microscopic images of Plasmodium Falciparum with several kinds of pixel intensity were used. The proposed method started by normalizing the data. The normalization result was then segmented by using Otsu thresholding and some operations of morphological operation. Based on the segmentation result, parasite candidate detection was done by storing the location of an object in segmentation result and labeling the object by using BLOB analysis. The result of detection process produced high number of false positive. To reduce the number of false positive, feature extraction process followed by classification process was conducted. Several texture features such as histogram, GLCM and GLRLM were used to extract information of parasite. Classification process was conducted by applying several kernels of SVM classifier. According to the evaluation process, the proposed method has better performance than previous study and successfully distinguish parasite and non-parasite by using the cubic kernel of SVM with accuracy, sensitivity, specificity, PPV and NPV of 97.4%, 100%, 94.8%, 95.1% and 100%, respectively. These results indicated that the proposed scheme is proper in order to assist the expert in detecting Plasmodium parasites effectively. © 2019 IEEE.",detection algorithm; malaria; microscopic images; Plasmodium parasites Automation; Blood; Embedded systems; Mathematical morphology; Support vector machines; Textures; Classification process; Detection algorithm; Digital microscopic images; malaria; Microscopic image; Morphological operations; Plasmodium falciparum; Plasmodium parasites; Classification (of information)
Guided-Gated Recurrent Unit for Deep Learning-Based Recommendation System,"Discovering and drawing out the relationship between users and items in a service-based companies or organizations are the essence of a recommendation system. It attracts many researches trying to solve such problems. Here we address a novel approach for the recommendation system, incorporating the means of collaborative aspect between the users internal hidden patterns and the items or goods to be recommended. Unlike the existing methods, our algorithm introduces a guiding factor between the user hidden state and the choice over the item set, such that it gives additional degree of freedom for the recommendation system to opt on which factor is more prominent. Experimental results suggest the advantages of the proposed algorithm over the existing state-of-the-art algorithms for the recommendation system. © 2019 IEEE.", Deep learning; Degrees of freedom (mechanics); Degree of freedom; Hidden patterns; Hidden state; Service-based; State-of-the-art algorithms; Recommender systems
Deep learning-based Anomaly Detection on Surveillance Videos: Recent Advances,"Surveillance cameras number keep increasing from year to year, in 2017 alone estimated 106 million new CCTV installed. Surveillance cameras are installed to widen surveillance coverage in order to detect anomalies. Conventionally, detecting anomalies through surveillance cameras are using human observers. The increasing number of surveillance cameras installed is increasing the need for an automatic system to replace unreliable human observer. Thus an intelligent computer vision-based system to detect anomalies need to be developed. The goal of this system is to provide a warning to the first responder accurately and as fast as possible while the system is running all the time. The faster the response of the first responder, the better chance of an anomaly to be resolved. Deep learning based method has been proposed to solve anomaly detection on videos. Anomaly detected is composed of a set of violent and non-violent crimes with high impact in society. To increase the accuracy of previous system to detect anomalies in condition that resembles real life situation, multiple processes need to be combined. This paper will review various method used to increase the performance of a deep learning based action recognition on videos. To capture temporal information effectively the model need to be able to use multimodalities to detect motion, incorporating long-range temporal structure, and numerous deep learning architectures with various characteristics. © 2019 IEEE.",action recognition; anomaly; CCTV; deep learning; untrimmed; weakly supervised Anomaly detection; Cameras; Learning systems; Monitoring; Security systems; Action recognition; Learning architectures; Learning-based methods; Surveillance cameras; Surveillance video; Temporal information; Temporal structures; Vision based system; Deep learning
User profile correlation-based similarity (UPCSim) algorithm in movie recommendation system,"Collaborative filtering is one of the most widely used recommendation system approaches. One issue in collaborative filtering is how to use a similarity algorithm to increase the accuracy of the recommendation system. Most recently, a similarity algorithm that combines the user rating value and the user behavior value has been proposed. The user behavior value is obtained from the user score probability in assessing the genre data. The problem with the algorithm is it only considers genre data for capturing user behavior value. Therefore, this study proposes a new similarity algorithm – so-called User Profile Correlation-based Similarity (UPCSim) – that examines the genre data and the user profile data, namely age, gender, occupation, and location. All the user profile data are used to find the weights of the similarities of user rating value and user behavior value. The weights of both similarities are obtained by calculating the correlation coefficients between the user profile data and the user rating or behavior values. An experiment shows that the UPCSim algorithm outperforms the previous algorithm on recommendation accuracy, reducing MAE by 1.64% and RMSE by 1.4%. © 2021, The Author(s).",Collaborative filtering; UPCSim; User behavior value; User rating value 
Recommendation algorithm using clustering-based upcsim (Cb-upcsim),"One of the well-known recommendation systems is memory-based collaborative filtering that utilizes similarity metrics. Recently, the similarity metrics have taken into account the user rating and user behavior scores. The user behavior score indicates the user preference in each product type (genre). The added user behavior score to the similarity metric results in more complex com-putation. To reduce the complex computation, we combined the clustering method and user behavior score-based similarity. The clustering method applies k-means clustering by determination of the number of clusters using the Silhouette Coefficient. Whereas the user behavior score-based similarity utilizes User Profile Correlation-based Similarity (UPCSim). The experimental results with the MovieLens 100k dataset showed a faster computation time of 4.16 s. In addition, the Mean Ab-solute Error (MAE) and Root Mean Square Error (RMSE) values decreased by 1.88% and 1.46% com-pared to the baseline algorithm. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Collaborative filtering; K-means clustering; Memory-based; Silhouette Coefficient; Similarity metrics 
Designing a tourism recommendation system using a hybrid method (Collaborative Filtering and Content-Based Filtering),"A recommendation system is an application model based on observations of the customers circumstances and desires. The recommendation system can be applied in various fields, one of which is tourism. By utilizing a recommendation system, tourism can introduce and promote its tourism to the wider community. In the recommendation system, several methods are used to support how the system works in producing information. This papers uses the Hybrid (Collaborative Filtering Content-Based Filtering) method and the Nearest Neighbor (NN) algorithm. This method has a weakness when an item does not have a rating at all. Therefore, it needs a method that can overcome the weaknesses of the method. We implement a hybrid method, which combines several methods in the recommendation system to produce recommendation items under the users wishes. In addition, this system will use Whatsapp Messenger as a promotional medium. This paper aims to propose a recommendation system that will help several historical tours become the foremost destinations when visiting Palembang. The result of developing this recommendation system is a website that can recommend tours desired by users. © 2021 IEEE.",Collaborative Filtering; Content-Based; Hybrid; Nearest Neighbor; Recommendation System; Tourism Collaborative filtering; Tourism; Application modeling; Content based filtering; Hybrid method; Nearest neighbor algorithm; Recommender systems
Empathetic Chatbot Enhancement and Development: A Literature Review,"Chatbots are dialog engines for interactive user experience which help by providing stakeholders such as consumers, device owners, maintenance workers, and so on with real-time tools (answers to any questions, instructions to use the equipment, help for decisions, etc.). Nowadays, chatbot usage is not only for closed domain needs but has also become common across companies. Some businesses use chatbots for their customer support to provide details for the client and also to allow online transactions. It is crucial that businesses should not look at chatbots simply as a digital medium for advertisement. They should be focusing on the part of the Chatbot communication service. To improve the interaction of chatbot communication service, a blended skill chatbot was proven to have a great performance which also having an inference, personalization, empathy, and knowledge. In this paper, we conduct a literature review that giving an insight into the recent development and statistical inference for empathetic chatbots and having a result of 13% of a hybrid model, 27% of a retrieval model, and 60% of the generative model to be analyzed its trends. © 2021 IEEE.",architecture model; chatbot; empathetic; literature review User experience; Communication service; Customer support; Generative model; Literature reviews; Maintenance workers; Online transaction; Retrieval models; Statistical inference; Artificial intelligence
Determining Priority of Ten Usability Heuristic Using Consistent Fuzzy Preference Relations,"One of the most commonly used usability checking methods is heuristic evaluation. This method has ten usability principles called usability heuristics by involving experts as evaluators. In conducting heuristic evaluations, evaluation results have been found with the same severity ratings of several heuristic principles but have not been discussed by previous studies. Therefore, the purpose of this study is to calculate the level of importance/priority of the ten principles/criteria of usability heuristics. The method used in this study is consistent fuzzy preference relationship which is included in multi-criteria decision making. The results of this study obtained the importance/priority of the ten most commonly used usability heuristics. The order from highest priority to lowest priority is as follows: (1)visibility of system status, (2)user control and freedom, (3)consistency and standards, (4)compatibility between the system and the real world, (5)error prevention, (6)recognition rather than recall, (7)flexibility and efficiency of use, (8)help and documentation, (9)aesthetic and minimalist design, (10)helping users identify, diagnose and recover from errors. © 2021 IEEE.",consistent fuzzy preference relations; determining priority; multi-criteria decision making; ten usability heuristic Decision making; Usability engineering; Consistent fuzzy preference relation; Consistent fuzzy preferences; Determining priority; Fuzzy preference relations; Heuristic evaluation; Multi criteria decision-making; Multicriteria decision-making; Multicriterion decision makings; Ten usability heuristic; Usability heuristics; Heuristic methods
A Review of Expert System for Identification Various Risk in Pregnancy,"The rapid growth of information technology allows us to create new technologies that can be applied later on to other fields. The thing that is developing is an expert system where this technology can later be applied to the medical world, especially in identifying risks during pregnancy. Ifsuch risks can be detected earlier, preventive steps can help expectant mothers and health workers.The Systematic Literature Review will address different approaches inside the expert framework, which can be used to identify early symptoms encountered by pregnant women. The whole process to be identified comes from a variety of available sources of literature. A total of 17 papers reviewed were published between 1985 and 2019. From this study, it can be inferred that premature birth and hypertension threats are the most observed. Rule-based systems and Artificial neural networks are the most commonly used approaches. © 2020 IEEE.",Detection; Expert Systems; Machine Learning; Risk Pregnancy; Systematic Literature Review Expert systems; Neural networks; Obstetrics; Pregnant woman; Rapid growth; Systematic literature review; Whole process; Health risks
